I0510 11:33:53.999912  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._8 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:54.001046  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._8 from 192.168.1.5:40714: '200 OK' after 3.09709ms
I0510 11:34:04.015808  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._a from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:34:04.017848  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._a from 192.168.1.5:40714: '200 OK' after 6.79219ms
I0510 11:34:14.029498  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._c from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:34:14.031980  2837 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._c from 192.168.1.5:40714: '200 OK' after 6.52493ms
I0510 11:34:24.052073  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._e from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:34:24.055359  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._e from 192.168.1.5:40714: '200 OK' after 8.2263ms
I0510 11:34:34.072517  2841 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._g from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:34:34.074816  2839 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._g from 192.168.1.5:40714: '200 OK' after 7.54304ms
I0510 11:34:44.090754  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._i from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:34:44.092072  2841 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._i from 192.168.1.5:40714: '200 OK' after 6.23411ms
I0510 11:34:54.105013  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._k from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:34:54.107695  2835 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._k from 192.168.1.5:40714: '200 OK' after 6.97472ms
I0510 11:35:04.120824  2840 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._m from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:35:04.123106  2836 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._m from 192.168.1.5:40714: '200 OK' after 4.832ms
I0510 11:35:14.134876  2840 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._o from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:35:14.137389  2841 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._o from 192.168.1.5:40714: '200 OK' after 5.96864ms
I0510 11:35:24.150436  2837 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._q from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:35:24.153204  2841 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._q from 192.168.1.5:40714: '200 OK' after 7.6841ms
I0510 11:35:34.169008  2841 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._s from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:35:34.171761  2836 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._s from 192.168.1.5:40714: '200 OK' after 6.87309ms
I0510 11:35:39.391067  2835 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:41208 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:35:39.392194  2842 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:41208: '200 OK' after 3.07098ms
I0510 11:35:45.517427  2839 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:41208 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:35:45.518647  2837 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:41208: '200 OK' after 3.00006ms
